day	icufrac
1	1
2	1
3	0.666666667
4	1
5	1
6	0.444444444
7	0.413793103
8	0.72
9	1
10	0.62
11	0.88
12	0.723076923
13	1
14	0.815789474
15	0.911111111
16	0.550561798
17	0.508130081
18	0.559859155
19	0.650455927
20	0.558411215
21	0.490981964
22	0.437819421
23	0.440060698
24	0.396226415
25	0.374592834
26	0.351243781
27	0.306797853
28	0.246996997
29	0.232885906
30	0.19738339
31	0.19451074
32	0.161092531
33	0.166454892
34	0.172932331
35	0.210815765
36	0.249705536
37	0.260869565
38	0.227906977
39	0.224611708
40	0.235064935
41	0.222734255
42	0.216393443
43	0.227443609
44	0.247739602
45	0.25

