day icucum icudead icurec icupres hosprec hoscum
1	7	0	0	9	0	0
2	7	0	0	9	0	2
3	8	0	0	10	0	3
4	11	0	0	13	1	6
5	13	0	0	14	1	7
6	16	0	0	17	1	11
7	19	2	0	19	2	24
8	25	2	0	25	2	36
9	35	2	1	32	2	36
10	46	2	1	39	2	50
11	57	3	1	49	2	86
12	80	4	1	70	2	86
13	94	4	2	80	3	115
14	114	4	5	98	4	136
15	142	6	6	122	4	162
16	176	11	10	152	5	205
17	212	13	13	180	6	314
18	267	17	16	230	8	408
19	335	24	20	291	8	489
20	426	29	28	367	9	643
21	507	41	37	433	11	836
22	581	47	39	483	13	988
23	683	64	51	576	15	1230
24	796	72	59	658	18	1495
25	915	84	70	756	22	1836
26	1026	107	76	840	30	2151
27	1147	121	95	928	33	2500
28	1256	138	113	996	36	2954
29	1353	164	124	1045	45	3483
30	1491	185	144	1135	52	3990
31	1604	218	157	1195	63	4712
32	1679	238	173	1212	77	5159
33	1781	261	189	1257	87	5784
34	1863	294	202	1286	104	6286
35	1932	313	226	1291	112	6622
36	2009	335	251	1310	118	6875
37	2075	352	270	1319	134	7135
38	2139	385	306	1328	148	7427
39	2204	400	330	1298	166	7735
40	2260	411	343	1296	186	7972
41	2318	441	358	1309	209	8197
42	2348	456	386	1270	225	8386
43	2389	469	416	1251	237	8582
44	2438	491	447	1237	247	8729
45	2478	501	461	1214	277	8939
46	2504	519	479	1189	307	9127
47	2536	536	485	1154	337	9309
48	2564	555	498	1126	370	9465
49	2582	567	524	1079	385	9594
50	2609	583	549	1055	389	9704
51	2642	602	555	1037	425	9779
52	2670	621	574	1005	456	9897
53	2686	638	584	945	483	10021
