day	icufrac
1	1
2	1
3	0.666666667
4	1
5	0.875
6	0.388888889
7	0.413793103
8	0.6
9	0.807692308
10	0.46
11	0.8
12	0.692307692
13	1
14	0.789473684
15	0.877777778
16	0.533707865
17	0.483739837
18	0.517605634
19	0.601823708
20	0.507009346
21	0.45490982
22	0.415672913
23	0.426403642
24	0.384433962
25	0.353963084
26	0.335323383
27	0.28980322
28	0.236486486
29	0.223489933
30	0.193970421
31	0.196300716
32	0.161649944
33	0.168360864
34	0.168147642
35	0.206232814
36	0.23557126
37	0.249689441
38	0.213953488
39	0.215053763
40	0.215584416
41	0.193548387
42  0.2

