day	icufrac
1	1
2	1
3	0.666666667
4	1
5	0.875
6	0.388888889
7	0.379310345
8	0.52
9	0.692307692
10	0.38
11	0.72
12	0.646153846
13	1
14	0.763157895
15	0.855555556
16	0.533707865
17	0.483739837
18	0.514084507
19	0.598784195
20	0.507009346
21	0.456913828
22	0.415672913
23	0.426403642
24	0.384433962
25	0.35504886
26	0.35

